Time,Data
2025-03-24:NEGPOS_00_04,51.72
2025-03-24:NEGPOS_04_08,51.92
2025-03-24:NEGPOS_08_12,61.88
2025-03-24:NEGPOS_12_16,80.6
2025-03-24:NEGPOS_16_20,70
2025-03-24:NEGPOS_20_24,23.13
2025-03-25:NEGPOS_00_04,17.33
2025-03-25:NEGPOS_04_08,26.96
2025-03-25:NEGPOS_08_12,100.68
2025-03-25:NEGPOS_12_16,100
2025-03-25:NEGPOS_16_20,91.4
2025-03-25:NEGPOS_20_24,17.7
2025-03-26:NEGPOS_00_04,15
2025-03-26:NEGPOS_04_08,21
2025-03-26:NEGPOS_08_12,61.34
2025-03-26:NEGPOS_12_16,69
2025-03-26:NEGPOS_16_20,72
2025-03-26:NEGPOS_20_24,36.71
2025-03-27:NEGPOS_00_04,18.4
2025-03-27:NEGPOS_04_08,34.09
2025-03-27:NEGPOS_08_12,56.2
2025-03-27:NEGPOS_12_16,109
2025-03-27:NEGPOS_16_20,62.7
2025-03-27:NEGPOS_20_24,20
2025-03-28:NEGPOS_00_04,16.4
2025-03-28:NEGPOS_04_08,26.8
2025-03-28:NEGPOS_08_12,92
2025-03-28:NEGPOS_12_16,116.68
2025-03-28:NEGPOS_16_20,69.52
2025-03-28:NEGPOS_20_24,23
2025-03-29:NEGPOS_00_04,15.83
2025-03-29:NEGPOS_04_08,20.35
2025-03-29:NEGPOS_08_12,104
2025-03-29:NEGPOS_12_16,140
2025-03-29:NEGPOS_16_20,80.4
2025-03-29:NEGPOS_20_24,18.66
2025-03-30:NEGPOS_00_04,30.42
2025-03-30:NEGPOS_04_08,39
2025-03-30:NEGPOS_08_12,85.55
2025-03-30:NEGPOS_12_16,96
2025-03-30:NEGPOS_16_20,56.5
2025-03-30:NEGPOS_20_24,20
