Time,Data
2025-03-24:NEG_001,860.27
2025-03-24:NEG_002,839.13
2025-03-24:NEG_003,840.52
2025-03-24:NEG_004,845.54
2025-03-24:NEG_005,835.26
2025-03-24:NEG_006,837.8
2025-03-24:NEG_007,837.18
2025-03-24:NEG_008,844.13
2025-03-24:NEG_009,842.45
2025-03-24:NEG_010,834.26
2025-03-24:NEG_011,837.22
2025-03-24:NEG_012,844.77
2025-03-24:NEG_013,842.62
2025-03-24:NEG_014,846.54
2025-03-24:NEG_015,842.33
2025-03-24:NEG_016,843.87
2025-03-24:NEG_017,1075.05
2025-03-24:NEG_018,1074.83
2025-03-24:NEG_019,1071.06
2025-03-24:NEG_020,1074.4
2025-03-24:NEG_021,1078.17
2025-03-24:NEG_022,1080.22
2025-03-24:NEG_023,1074.42
2025-03-24:NEG_024,1082.93
2025-03-24:NEG_025,1084.6
2025-03-24:NEG_026,1088.98
2025-03-24:NEG_027,1092.05
2025-03-24:NEG_028,1083.33
2025-03-24:NEG_029,1090
2025-03-24:NEG_030,1091.06
2025-03-24:NEG_031,1042.12
2025-03-24:NEG_032,1072.33
2025-03-24:NEG_033,1254.8
2025-03-24:NEG_034,1232.53
2025-03-24:NEG_035,1274.65
2025-03-24:NEG_036,1228.78
2025-03-24:NEG_037,1267.76
2025-03-24:NEG_038,1226.7
2025-03-24:NEG_039,1212.44
2025-03-24:NEG_040,1264.75
2025-03-24:NEG_041,1216.1
2025-03-24:NEG_042,1250.89
2025-03-24:NEG_043,1218.62
2025-03-24:NEG_044,1253.02
2025-03-24:NEG_045,1269.53
2025-03-24:NEG_046,1277.27
2025-03-24:NEG_047,1253.57
2025-03-24:NEG_048,1282.16
2025-03-24:NEG_049,1106.81
2025-03-24:NEG_050,1093.39
2025-03-24:NEG_051,1087.95
2025-03-24:NEG_052,1042.62
2025-03-24:NEG_053,1034.29
2025-03-24:NEG_054,1034.62
2025-03-24:NEG_055,1036.29
2025-03-24:NEG_056,1036.05
2025-03-24:NEG_057,1074.24
2025-03-24:NEG_058,1074.45
2025-03-24:NEG_059,1032.31
2025-03-24:NEG_060,1045.42
2025-03-24:NEG_061,1060.48
2025-03-24:NEG_062,1047.02
2025-03-24:NEG_063,993.45
2025-03-24:NEG_064,989.07
2025-03-24:NEG_065,1047.31
2025-03-24:NEG_066,1003.87
2025-03-24:NEG_067,1001.45
2025-03-24:NEG_068,999.53
2025-03-24:NEG_069,1005.56
2025-03-24:NEG_070,1009.17
2025-03-24:NEG_071,1008.44
2025-03-24:NEG_072,998
2025-03-24:NEG_073,1006.97
2025-03-24:NEG_074,1007.95
2025-03-24:NEG_075,1006.74
2025-03-24:NEG_076,1006.28
2025-03-24:NEG_077,1007.17
2025-03-24:NEG_078,1007.08
2025-03-24:NEG_079,1007.48
2025-03-24:NEG_080,1006.74
2025-03-24:NEG_081,1076.27
2025-03-24:NEG_082,1078.82
2025-03-24:NEG_083,1078.17
2025-03-24:NEG_084,1074.85
2025-03-24:NEG_085,1071.76
2025-03-24:NEG_086,1082.11
2025-03-24:NEG_087,1296.04
2025-03-24:NEG_088,1295.62
2025-03-24:NEG_089,1281.98
2025-03-24:NEG_090,1287.77
2025-03-24:NEG_091,1375.29
2025-03-24:NEG_092,1200.74
2025-03-24:NEG_093,1158.33
2025-03-24:NEG_094,1214.82
2025-03-24:NEG_095,1216.25
2025-03-24:NEG_096,1217.77
2025-03-25:NEG_001,1462.8
2025-03-25:NEG_002,1452.73
2025-03-25:NEG_003,1365.27
2025-03-25:NEG_004,1370.17
2025-03-25:NEG_005,1367.64
2025-03-25:NEG_006,1365.13
2025-03-25:NEG_007,1365.74
2025-03-25:NEG_008,1368.3
2025-03-25:NEG_009,1364.96
2025-03-25:NEG_010,1367.89
2025-03-25:NEG_011,1363.85
2025-03-25:NEG_012,1368.72
2025-03-25:NEG_013,1367.44
2025-03-25:NEG_014,1390.21
2025-03-25:NEG_015,1391.04
2025-03-25:NEG_016,1392.26
2025-03-25:NEG_017,1403.24
2025-03-25:NEG_018,1351.04
2025-03-25:NEG_019,1348.79
2025-03-25:NEG_020,1346.96
2025-03-25:NEG_021,1351.37
2025-03-25:NEG_022,1354.35
2025-03-25:NEG_023,1353.47
2025-03-25:NEG_024,1351.75
2025-03-25:NEG_025,1490.29
2025-03-25:NEG_026,1426.61
2025-03-25:NEG_027,1318.16
2025-03-25:NEG_028,1312.44
2025-03-25:NEG_029,1311.88
2025-03-25:NEG_030,1299.37
2025-03-25:NEG_031,1299.82
2025-03-25:NEG_032,1297.47
2025-03-25:NEG_033,1244.25
2025-03-25:NEG_034,1243.39
2025-03-25:NEG_035,1244.19
2025-03-25:NEG_036,1307.47
2025-03-25:NEG_037,1355.52
2025-03-25:NEG_038,1360.36
2025-03-25:NEG_039,1329.91
2025-03-25:NEG_040,1326.3
2025-03-25:NEG_041,1324.74
2025-03-25:NEG_042,1324.98
2025-03-25:NEG_043,1343.09
2025-03-25:NEG_044,1462.28
2025-03-25:NEG_045,1407.14
2025-03-25:NEG_046,1434.43
2025-03-25:NEG_047,1485.92
2025-03-25:NEG_048,1489.55
2025-03-25:NEG_049,1334
2025-03-25:NEG_050,1327.9
2025-03-25:NEG_051,1366.42
2025-03-25:NEG_052,1332.88
2025-03-25:NEG_053,1330.75
2025-03-25:NEG_054,1445.59
2025-03-25:NEG_055,1303.81
2025-03-25:NEG_056,1290.98
2025-03-25:NEG_057,1366.34
2025-03-25:NEG_058,1366.35
2025-03-25:NEG_059,1278.59
2025-03-25:NEG_060,1388.44
2025-03-25:NEG_061,2671.73
2025-03-25:NEG_062,2652.18
2025-03-25:NEG_063,1312.86
2025-03-25:NEG_064,2646.61
2025-03-25:NEG_065,2249.57
2025-03-25:NEG_066,2259.23
2025-03-25:NEG_067,2249.13
2025-03-25:NEG_068,2260.86
2025-03-25:NEG_069,1298.85
2025-03-25:NEG_070,1234.33
2025-03-25:NEG_071,1227.58
2025-03-25:NEG_072,1224.98
2025-03-25:NEG_073,1190.22
2025-03-25:NEG_074,1153.04
2025-03-25:NEG_075,2228.33
2025-03-25:NEG_076,1191.78
2025-03-25:NEG_077,1157.01
2025-03-25:NEG_078,2242.91
2025-03-25:NEG_079,2242.18
2025-03-25:NEG_080,2223.81
2025-03-25:NEG_081,2455.07
2025-03-25:NEG_082,2459.1
2025-03-25:NEG_083,1093.65
2025-03-25:NEG_084,1029.11
2025-03-25:NEG_085,2454.59
2025-03-25:NEG_086,1083.04
2025-03-25:NEG_087,1058.81
2025-03-25:NEG_088,1054.99
2025-03-25:NEG_089,1036.45
2025-03-25:NEG_090,1091.92
2025-03-25:NEG_091,1090.5
2025-03-25:NEG_092,1061.65
2025-03-25:NEG_093,1042.96
2025-03-25:NEG_094,1044.98
2025-03-25:NEG_095,1045.06
2025-03-25:NEG_096,1044.81
2025-03-26:NEG_001,1399.12
2025-03-26:NEG_002,1401.21
2025-03-26:NEG_003,1417.69
2025-03-26:NEG_004,1414.52
2025-03-26:NEG_005,1404.67
2025-03-26:NEG_006,1404.33
2025-03-26:NEG_007,1499.78
2025-03-26:NEG_008,1401.81
2025-03-26:NEG_009,1402.12
2025-03-26:NEG_010,1403
2025-03-26:NEG_011,1455.72
2025-03-26:NEG_012,1438.89
2025-03-26:NEG_013,1401.51
2025-03-26:NEG_014,1404.14
2025-03-26:NEG_015,1402.08
2025-03-26:NEG_016,1402.08
2025-03-26:NEG_017,1319.43
2025-03-26:NEG_018,1272.8
2025-03-26:NEG_019,1277.52
2025-03-26:NEG_020,1278.29
2025-03-26:NEG_021,1282.44
2025-03-26:NEG_022,1277.78
2025-03-26:NEG_023,1281.04
2025-03-26:NEG_024,1282.53
2025-03-26:NEG_025,1300.12
2025-03-26:NEG_026,1310.62
2025-03-26:NEG_027,1309.97
2025-03-26:NEG_028,1308.39
2025-03-26:NEG_029,1315.79
2025-03-26:NEG_030,1314.61
2025-03-26:NEG_031,1315.16
2025-03-26:NEG_032,1315.24
2025-03-26:NEG_033,1118.2
2025-03-26:NEG_034,1101.72
2025-03-26:NEG_035,1125.41
2025-03-26:NEG_036,1113.66
2025-03-26:NEG_037,1135.16
2025-03-26:NEG_038,1131.06
2025-03-26:NEG_039,1120.17
2025-03-26:NEG_040,1119.04
2025-03-26:NEG_041,1096.23
2025-03-26:NEG_042,1115.57
2025-03-26:NEG_043,1114.99
2025-03-26:NEG_044,1110.53
2025-03-26:NEG_045,1087.88
2025-03-26:NEG_046,1065.11
2025-03-26:NEG_047,1062.3
2025-03-26:NEG_048,1073.63
2025-03-26:NEG_049,1324.2
2025-03-26:NEG_050,1323.89
2025-03-26:NEG_051,1271.44
2025-03-26:NEG_052,1281.37
2025-03-26:NEG_053,1284.92
2025-03-26:NEG_054,1283.69
2025-03-26:NEG_055,1279.24
2025-03-26:NEG_056,1346.36
2025-03-26:NEG_057,1354.6
2025-03-26:NEG_058,1283.92
2025-03-26:NEG_059,1283.42
2025-03-26:NEG_060,1280.4
2025-03-26:NEG_061,1321.53
2025-03-26:NEG_062,1287.56
2025-03-26:NEG_063,1330.78
2025-03-26:NEG_064,1353.07
2025-03-26:NEG_065,1253.5
2025-03-26:NEG_066,1253.77
2025-03-26:NEG_067,1250.76
2025-03-26:NEG_068,1249.11
2025-03-26:NEG_069,1293.8
2025-03-26:NEG_070,1373.69
2025-03-26:NEG_071,1267.42
2025-03-26:NEG_072,1273.61
2025-03-26:NEG_073,1267.66
2025-03-26:NEG_074,1271.81
2025-03-26:NEG_075,1272.04
2025-03-26:NEG_076,1268.45
2025-03-26:NEG_077,1256.8
2025-03-26:NEG_078,1256.9
2025-03-26:NEG_079,1261.72
2025-03-26:NEG_080,1258.32
2025-03-26:NEG_081,1224.93
2025-03-26:NEG_082,1202.77
2025-03-26:NEG_083,1201.38
2025-03-26:NEG_084,1198.85
2025-03-26:NEG_085,1192.74
2025-03-26:NEG_086,1191.39
2025-03-26:NEG_087,1191.74
2025-03-26:NEG_088,1232.74
2025-03-26:NEG_089,1202.24
2025-03-26:NEG_090,1208.04
2025-03-26:NEG_091,1226.05
2025-03-26:NEG_092,1222.01
2025-03-26:NEG_093,1216.6
2025-03-26:NEG_094,1205.9
2025-03-26:NEG_095,1207.11
2025-03-26:NEG_096,1210
2025-03-27:NEG_001,1157.55
2025-03-27:NEG_002,1154.73
2025-03-27:NEG_003,1161.13
2025-03-27:NEG_004,1161.75
2025-03-27:NEG_005,1154.32
2025-03-27:NEG_006,1271.44
