Time,Data
2025-03-24T00:00:00+01:00,0.36
2025-03-24T00:15:00+01:00,9.704
2025-03-24T00:30:00+01:00,2.092
2025-03-24T00:45:00+01:00,4.724
2025-03-24T01:00:00+01:00,1.968
2025-03-24T01:15:00+01:00,0.624
2025-03-24T01:30:00+01:00,3.568
2025-03-24T01:45:00+01:00,0.396
2025-03-24T02:00:00+01:00,0.556
2025-03-24T02:15:00+01:00,0.672
2025-03-24T02:30:00+01:00,0.556
2025-03-24T02:45:00+01:00,0.024
2025-03-24T03:00:00+01:00,0.672
2025-03-24T03:15:00+01:00,0
2025-03-24T03:30:00+01:00,0.152
2025-03-24T03:45:00+01:00,0.396
2025-03-24T04:00:00+01:00,22.78
2025-03-24T04:15:00+01:00,0.976
2025-03-24T04:30:00+01:00,5.016
2025-03-24T04:45:00+01:00,46.464
2025-03-24T05:00:00+01:00,76.576
2025-03-24T05:15:00+01:00,39.092
2025-03-24T05:30:00+01:00,33.38
2025-03-24T05:45:00+01:00,3.408
2025-03-24T06:00:00+01:00,15.148
2025-03-24T06:15:00+01:00,0
2025-03-24T06:30:00+01:00,0.16
2025-03-24T06:45:00+01:00,0.172
2025-03-24T07:00:00+01:00,1.156
2025-03-24T07:15:00+01:00,0.024
2025-03-24T07:30:00+01:00,0
2025-03-24T07:45:00+01:00,0
2025-03-24T08:00:00+01:00,0
2025-03-24T08:15:00+01:00,0
2025-03-24T08:30:00+01:00,0.088
2025-03-24T08:45:00+01:00,0.08
2025-03-24T09:00:00+01:00,2.232
2025-03-24T09:15:00+01:00,1.184
2025-03-24T09:30:00+01:00,0
2025-03-24T09:45:00+01:00,3.008
2025-03-24T10:00:00+01:00,9.812
2025-03-24T10:15:00+01:00,21.756
2025-03-24T10:30:00+01:00,12.716
2025-03-24T10:45:00+01:00,10.136
2025-03-24T11:00:00+01:00,1.104
2025-03-24T11:15:00+01:00,196.928
2025-03-24T11:30:00+01:00,34.536
2025-03-24T11:45:00+01:00,8.44
2025-03-24T12:00:00+01:00,23.672
2025-03-24T12:15:00+01:00,155.224
2025-03-24T12:30:00+01:00,53.004
2025-03-24T12:45:00+01:00,318.356
2025-03-24T13:00:00+01:00,85.676
2025-03-24T13:15:00+01:00,3.776
2025-03-24T13:30:00+01:00,28.364
2025-03-24T13:45:00+01:00,89.656
2025-03-24T14:00:00+01:00,76.964
2025-03-24T14:15:00+01:00,0
2025-03-24T14:30:00+01:00,0
2025-03-24T14:45:00+01:00,0
2025-03-24T15:00:00+01:00,0.004
2025-03-24T15:15:00+01:00,55.136
2025-03-24T15:30:00+01:00,49.504
2025-03-24T15:45:00+01:00,43.828
2025-03-24T16:00:00+01:00,58.464
2025-03-24T16:15:00+01:00,55.204
2025-03-24T16:30:00+01:00,0.06
2025-03-24T16:45:00+01:00,0
2025-03-24T17:00:00+01:00,0.032
2025-03-24T17:15:00+01:00,19.532
2025-03-24T17:30:00+01:00,50.356
2025-03-24T17:45:00+01:00,0.064
2025-03-24T18:00:00+01:00,7.876
2025-03-24T18:15:00+01:00,0
2025-03-24T18:30:00+01:00,0
2025-03-24T18:45:00+01:00,0
2025-03-24T19:00:00+01:00,0
2025-03-24T19:15:00+01:00,0
2025-03-24T19:30:00+01:00,0
2025-03-24T19:45:00+01:00,0
2025-03-24T20:00:00+01:00,0.156
2025-03-24T20:15:00+01:00,8.652
2025-03-24T20:30:00+01:00,35.456
2025-03-24T20:45:00+01:00,125.912
2025-03-24T21:00:00+01:00,40.064
2025-03-24T21:15:00+01:00,88.784
2025-03-24T21:30:00+01:00,273.948
2025-03-24T21:45:00+01:00,325.164
2025-03-24T22:00:00+01:00,140.748
2025-03-24T22:15:00+01:00,208.752
2025-03-24T22:30:00+01:00,34.108
2025-03-24T22:45:00+01:00,20.444
2025-03-24T23:00:00+01:00,2.364
2025-03-24T23:15:00+01:00,0.64
2025-03-24T23:30:00+01:00,11.056
2025-03-24T23:45:00+01:00,34.376
2025-03-25T00:00:00+01:00,23.14
2025-03-25T00:15:00+01:00,80.444
2025-03-25T00:30:00+01:00,17.092
2025-03-25T00:45:00+01:00,0.372
2025-03-25T01:00:00+01:00,15.744
2025-03-25T01:15:00+01:00,0.696
2025-03-25T01:30:00+01:00,1.508
2025-03-25T01:45:00+01:00,0.084
2025-03-25T02:00:00+01:00,0.056
2025-03-25T02:15:00+01:00,0.104
2025-03-25T02:30:00+01:00,1.724
2025-03-25T02:45:00+01:00,0.66
2025-03-25T03:00:00+01:00,1.104
2025-03-25T03:15:00+01:00,1.272
2025-03-25T03:30:00+01:00,2.308
2025-03-25T03:45:00+01:00,39.88
2025-03-25T04:00:00+01:00,2.652
2025-03-25T04:15:00+01:00,0
2025-03-25T04:30:00+01:00,0.076
2025-03-25T04:45:00+01:00,0.284
2025-03-25T05:00:00+01:00,18.324
2025-03-25T05:15:00+01:00,1.284
2025-03-25T05:30:00+01:00,0.364
2025-03-25T05:45:00+01:00,2.956
2025-03-25T06:00:00+01:00,136.032
2025-03-25T06:15:00+01:00,0.656
2025-03-25T06:30:00+01:00,1.084
2025-03-25T06:45:00+01:00,0.348
2025-03-25T07:00:00+01:00,0.364
2025-03-25T07:15:00+01:00,0
2025-03-25T07:30:00+01:00,0
2025-03-25T07:45:00+01:00,0.736
2025-03-25T08:00:00+01:00,10.664
2025-03-25T08:15:00+01:00,13.72
2025-03-25T08:30:00+01:00,58.508
2025-03-25T08:45:00+01:00,36.98
2025-03-25T09:00:00+01:00,176.708
2025-03-25T09:15:00+01:00,85.568
2025-03-25T09:30:00+01:00,37.024
2025-03-25T09:45:00+01:00,8.04
2025-03-25T10:00:00+01:00,93.192
2025-03-25T10:15:00+01:00,208.1
2025-03-25T10:30:00+01:00,60.504
2025-03-25T10:45:00+01:00,56.056
2025-03-25T11:00:00+01:00,47.44
2025-03-25T11:15:00+01:00,65.532
