Time,Data
2025-03-24:POS_00_04,4.33
2025-03-24:POS_00_04,4.33
2025-03-24:POS_00_04,4.33
2025-03-24:POS_00_04,4.33
2025-03-24:POS_00_04,4.33
2025-03-24:POS_00_04,4.33
2025-03-24:POS_00_04,4.33
2025-03-24:POS_00_04,4.33
2025-03-24:POS_00_04,4.33
2025-03-24:POS_00_04,4.33
2025-03-24:POS_00_04,4.33
2025-03-24:POS_00_04,4.33
2025-03-24:POS_00_04,4.33
2025-03-24:POS_00_04,4.33
2025-03-24:POS_00_04,4.33
2025-03-24:POS_00_04,4.33
2025-03-24:POS_04_08,9.55
2025-03-24:POS_04_08,9.55
2025-03-24:POS_04_08,9.55
2025-03-24:POS_04_08,9.55
2025-03-24:POS_04_08,9.55
2025-03-24:POS_04_08,9.55
2025-03-24:POS_04_08,9.55
2025-03-24:POS_04_08,9.55
2025-03-24:POS_04_08,9.55
2025-03-24:POS_04_08,9.55
2025-03-24:POS_04_08,9.55
2025-03-24:POS_04_08,9.55
2025-03-24:POS_04_08,9.55
2025-03-24:POS_04_08,9.55
2025-03-24:POS_04_08,9.55
2025-03-24:POS_04_08,9.55
2025-03-24:POS_08_12,26.18
2025-03-24:POS_08_12,26.18
2025-03-24:POS_08_12,26.18
2025-03-24:POS_08_12,26.18
2025-03-24:POS_08_12,26.18
2025-03-24:POS_08_12,26.18
2025-03-24:POS_08_12,26.18
2025-03-24:POS_08_12,26.18
2025-03-24:POS_08_12,26.18
2025-03-24:POS_08_12,26.18
2025-03-24:POS_08_12,26.18
2025-03-24:POS_08_12,26.18
2025-03-24:POS_08_12,26.18
2025-03-24:POS_08_12,26.18
2025-03-24:POS_08_12,26.18
2025-03-24:POS_08_12,26.18
2025-03-24:POS_12_16,42
2025-03-24:POS_12_16,42
2025-03-24:POS_12_16,42
2025-03-24:POS_12_16,42
2025-03-24:POS_12_16,42
2025-03-24:POS_12_16,42
2025-03-24:POS_12_16,42
2025-03-24:POS_12_16,42
2025-03-24:POS_12_16,42
2025-03-24:POS_12_16,42
2025-03-24:POS_12_16,42
2025-03-24:POS_12_16,42
2025-03-24:POS_12_16,42
2025-03-24:POS_12_16,42
2025-03-24:POS_12_16,42
2025-03-24:POS_12_16,42
2025-03-24:POS_16_20,40.91
2025-03-24:POS_16_20,40.91
2025-03-24:POS_16_20,40.91
2025-03-24:POS_16_20,40.91
2025-03-24:POS_16_20,40.91
2025-03-24:POS_16_20,40.91
2025-03-24:POS_16_20,40.91
2025-03-24:POS_16_20,40.91
2025-03-24:POS_16_20,40.91
2025-03-24:POS_16_20,40.91
2025-03-24:POS_16_20,40.91
2025-03-24:POS_16_20,40.91
2025-03-24:POS_16_20,40.91
2025-03-24:POS_16_20,40.91
2025-03-24:POS_16_20,40.91
2025-03-24:POS_16_20,40.91
2025-03-24:POS_20_24,12.57
2025-03-24:POS_20_24,12.57
2025-03-24:POS_20_24,12.57
2025-03-24:POS_20_24,12.57
2025-03-24:POS_20_24,12.57
2025-03-24:POS_20_24,12.57
2025-03-24:POS_20_24,12.57
2025-03-24:POS_20_24,12.57
2025-03-24:POS_20_24,12.57
2025-03-24:POS_20_24,12.57
2025-03-24:POS_20_24,12.57
