Time,Data
2025-03-24:POS_001,1028
2025-03-24:POS_002,1032.43
2025-03-24:POS_003,1035.69
2025-03-24:POS_004,1035.5
2025-03-24:POS_005,1029.36
2025-03-24:POS_006,1028.77
2025-03-24:POS_007,1028.95
2025-03-24:POS_008,1033.38
2025-03-24:POS_009,1027.93
2025-03-24:POS_010,1028.43
2025-03-24:POS_011,1028.25
2025-03-24:POS_012,1032.17
2025-03-24:POS_013,1028.17
2025-03-24:POS_014,1027.94
2025-03-24:POS_015,1026.26
2025-03-24:POS_016,1029.96
2025-03-24:POS_017,825.3
2025-03-24:POS_018,823.03
2025-03-24:POS_019,822.84
2025-03-24:POS_020,822.32
2025-03-24:POS_021,823.08
2025-03-24:POS_022,825.08
2025-03-24:POS_023,826.67
2025-03-24:POS_024,822.23
2025-03-24:POS_025,827.13
2025-03-24:POS_026,826.74
2025-03-24:POS_027,826.16
2025-03-24:POS_028,828.54
2025-03-24:POS_029,827.78
2025-03-24:POS_030,829.5
2025-03-24:POS_031,826.36
2025-03-24:POS_032,818.08
2025-03-24:POS_033,1221.18
2025-03-24:POS_034,1229.22
2025-03-24:POS_035,1229.19
2025-03-24:POS_036,1229.82
2025-03-24:POS_037,1225.8
2025-03-24:POS_038,1225.18
2025-03-24:POS_039,1228.29
2025-03-24:POS_040,1448.22
2025-03-24:POS_041,1219.74
2025-03-24:POS_042,1220.97
2025-03-24:POS_043,1221.16
2025-03-24:POS_044,1220.7
2025-03-24:POS_045,1211.41
2025-03-24:POS_046,1214.92
2025-03-24:POS_047,1193.4
2025-03-24:POS_048,1188.52
2025-03-24:POS_049,1383.25
2025-03-24:POS_050,1328.34
2025-03-24:POS_051,1385.41
2025-03-24:POS_052,1382.69
2025-03-24:POS_053,1402.63
2025-03-24:POS_054,1398.45
2025-03-24:POS_055,1403.32
2025-03-24:POS_056,1400.75
2025-03-24:POS_057,1382.98
2025-03-24:POS_058,1323.61
2025-03-24:POS_059,1379.51
2025-03-24:POS_060,1382.14
2025-03-24:POS_061,1332.68
2025-03-24:POS_062,1329.58
2025-03-24:POS_063,1381.32
2025-03-24:POS_064,1409.96
2025-03-24:POS_065,2206.7
2025-03-24:POS_066,2308.67
2025-03-24:POS_067,2344.02
2025-03-24:POS_068,2515.58
2025-03-24:POS_069,2380.16
2025-03-24:POS_070,2541.54
2025-03-24:POS_071,2684.01
2025-03-24:POS_072,2745.18
2025-03-24:POS_073,2830.33
2025-03-24:POS_074,2797.07
2025-03-24:POS_075,2793.22
2025-03-24:POS_076,2761.98
2025-03-24:POS_077,2746.98
2025-03-24:POS_078,2742.46
2025-03-24:POS_079,2740.57
2025-03-24:POS_080,2700.35
2025-03-24:POS_081,2033.18
2025-03-24:POS_082,2633.31
2025-03-24:POS_083,1736.99
2025-03-24:POS_084,1735.71
2025-03-24:POS_085,1610.97
2025-03-24:POS_086,1592.25
2025-03-24:POS_087,4290.22
2025-03-24:POS_088,4296.02
2025-03-24:POS_089,4353.34
2025-03-24:POS_090,4328.78
2025-03-24:POS_091,4237.02
2025-03-24:POS_092,1673.7
2025-03-24:POS_093,1599.9
2025-03-24:POS_094,1511.36
2025-03-24:POS_095,1515.48
2025-03-24:POS_096,1507.81
2025-03-25:POS_001,1587.96
2025-03-25:POS_002,1584.25
2025-03-25:POS_003,1624.07
2025-03-25:POS_004,1627.01
2025-03-25:POS_005,1625.96
2025-03-25:POS_006,1618.72
2025-03-25:POS_007,1612.83
2025-03-25:POS_008,1610.29
2025-03-25:POS_009,1614.07
2025-03-25:POS_010,1614.55
2025-03-25:POS_011,1614.97
2025-03-25:POS_012,1615.46
2025-03-25:POS_013,1613.34
2025-03-25:POS_014,1579.08
2025-03-25:POS_015,1578.58
2025-03-25:POS_016,1575.15
2025-03-25:POS_017,1477.98
2025-03-25:POS_018,1415.56
2025-03-25:POS_019,1414.22
2025-03-25:POS_020,1413.65
2025-03-25:POS_021,1410.93
2025-03-25:POS_022,1412.52
2025-03-25:POS_023,1411.29
2025-03-25:POS_024,1412.47
2025-03-25:POS_025,1377.13
2025-03-25:POS_026,1383.15
2025-03-25:POS_027,1394.33
2025-03-25:POS_028,1394.69
2025-03-25:POS_029,1400.01
2025-03-25:POS_030,1387.69
2025-03-25:POS_031,1456.84
2025-03-25:POS_032,1382.2
2025-03-25:POS_033,991.39
2025-03-25:POS_034,1005.13
2025-03-25:POS_035,1004.89
2025-03-25:POS_036,962.49
2025-03-25:POS_037,1002.41
2025-03-25:POS_038,965.24
2025-03-25:POS_039,947.41
2025-03-25:POS_040,945.38
2025-03-25:POS_041,947.34
2025-03-25:POS_042,930.53
2025-03-25:POS_043,923.66
2025-03-25:POS_044,913.81
2025-03-25:POS_045,931.67
2025-03-25:POS_046,924.57
2025-03-25:POS_047,913.38
2025-03-25:POS_048,911.86
2025-03-25:POS_049,1318.07
2025-03-25:POS_050,1298.69
2025-03-25:POS_051,1290.48
2025-03-25:POS_052,1292.78
2025-03-25:POS_053,1295.28
2025-03-25:POS_054,1292.56
2025-03-25:POS_055,1289.78
2025-03-25:POS_056,1286.06
2025-03-25:POS_057,1288.54
2025-03-25:POS_058,1285.49
2025-03-25:POS_059,1301.99
2025-03-25:POS_060,1328.16
2025-03-25:POS_061,1254.28
2025-03-25:POS_062,1237.73
2025-03-25:POS_063,1442.53
2025-03-25:POS_064,1254.49
2025-03-25:POS_065,1178.99
2025-03-25:POS_066,1174.46
2025-03-25:POS_067,1204.76
2025-03-25:POS_068,1204.41
2025-03-25:POS_069,1820.32
2025-03-25:POS_070,1860.17
2025-03-25:POS_071,1886.01
2025-03-25:POS_072,1947.53
2025-03-25:POS_073,1904.51
2025-03-25:POS_074,1927.52
2025-03-25:POS_075,1353.37
2025-03-25:POS_076,2048.41
2025-03-25:POS_077,2102.18
2025-03-25:POS_078,1341.59
2025-03-25:POS_079,1348.06
2025-03-25:POS_080,1332.54
2025-03-25:POS_081,1183.19
2025-03-25:POS_082,1177.28
2025-03-25:POS_083,1276.77
2025-03-25:POS_084,2049.65
2025-03-25:POS_085,1161.6
2025-03-25:POS_086,1275.6
2025-03-25:POS_087,1271.14
2025-03-25:POS_088,1216.47
2025-03-25:POS_089,1208.07
2025-03-25:POS_090,1210.27
2025-03-25:POS_091,1205.54
2025-03-25:POS_092,1205.75
2025-03-25:POS_093,1207.38
2025-03-25:POS_094,1207.16
2025-03-25:POS_095,1180.89
2025-03-25:POS_096,1170.55
2025-03-26:POS_001,1479.04
2025-03-26:POS_002,1501.6
2025-03-26:POS_003,1537
2025-03-26:POS_004,1542.58
2025-03-26:POS_005,1540.44
2025-03-26:POS_006,1535.07
2025-03-26:POS_007,1534.91
2025-03-26:POS_008,1539.48
2025-03-26:POS_009,1541.94
2025-03-26:POS_010,1538.76
2025-03-26:POS_011,1535.23
2025-03-26:POS_012,1532.44
2025-03-26:POS_013,1541.81
2025-03-26:POS_014,1541.8
2025-03-26:POS_015,1541.6
2025-03-26:POS_016,1538.94
2025-03-26:POS_017,1709.84
2025-03-26:POS_018,1667.39
2025-03-26:POS_019,1668.28
2025-03-26:POS_020,1666.32
2025-03-26:POS_021,1897.57
2025-03-26:POS_022,1897.97
2025-03-26:POS_023,1898.47
2025-03-26:POS_024,1902.15
2025-03-26:POS_025,1906.79
2025-03-26:POS_026,1948.39
2025-03-26:POS_027,1947.53
2025-03-26:POS_028,1950.13
2025-03-26:POS_029,1948.07
2025-03-26:POS_030,1950.58
2025-03-26:POS_031,1971.43
2025-03-26:POS_032,1947.47
2025-03-26:POS_033,1264.55
2025-03-26:POS_034,1163.84
2025-03-26:POS_035,1119.17
2025-03-26:POS_036,1116.73
2025-03-26:POS_037,897.5
2025-03-26:POS_038,922.59
2025-03-26:POS_039,926.76
2025-03-26:POS_040,926.72
2025-03-26:POS_041,938.88
2025-03-26:POS_042,931.14
2025-03-26:POS_043,931.46
2025-03-26:POS_044,934.29
2025-03-26:POS_045,947.1
2025-03-26:POS_046,963.96
2025-03-26:POS_047,964.04
2025-03-26:POS_048,957.07
2025-03-26:POS_049,1350.14
2025-03-26:POS_050,1360.28
2025-03-26:POS_051,1308.12
2025-03-26:POS_052,1312.33
2025-03-26:POS_053,1313.87
2025-03-26:POS_054,1313.79
2025-03-26:POS_055,1311.89
2025-03-26:POS_056,1269.7
2025-03-26:POS_057,1272.04
2025-03-26:POS_058,1322.64
2025-03-26:POS_059,1333.24
2025-03-26:POS_060,1335.03
2025-03-26:POS_061,1317.26
2025-03-26:POS_062,1335.72
2025-03-26:POS_063,1658.6
2025-03-26:POS_064,1421.57
2025-03-26:POS_065,2641.29
2025-03-26:POS_066,2648.54
2025-03-26:POS_067,2633.1
2025-03-26:POS_068,2596.55
2025-03-26:POS_069,2583
2025-03-26:POS_070,2584.14
2025-03-26:POS_071,2591.37
2025-03-26:POS_072,2591.97
2025-03-26:POS_073,2640.19
2025-03-26:POS_074,2636.41
2025-03-26:POS_075,2639.77
2025-03-26:POS_076,2732.2
2025-03-26:POS_077,2642.76
2025-03-26:POS_078,2644.87
2025-03-26:POS_079,2645.85
2025-03-26:POS_080,2690.07
2025-03-26:POS_081,1809.28
2025-03-26:POS_082,1802.66
2025-03-26:POS_083,1802.91
2025-03-26:POS_084,1801.64
2025-03-26:POS_085,1801.15
2025-03-26:POS_086,1801.57
2025-03-26:POS_087,1800.24
2025-03-26:POS_088,1698.39
2025-03-26:POS_089,1713.66
2025-03-26:POS_090,1722.03
2025-03-26:POS_091,1699.35
2025-03-26:POS_092,1696.37
2025-03-26:POS_093,1682.7
2025-03-26:POS_094,1695.35
2025-03-26:POS_095,1696.74
2025-03-26:POS_096,1646.67
2025-03-27:POS_001,1675.72
2025-03-27:POS_002,1676.84
2025-03-27:POS_003,1716.6
2025-03-27:POS_004,1714.86
2025-03-27:POS_005,1714.48
2025-03-27:POS_006,1713.76
2025-03-27:POS_007,1689.18
2025-03-27:POS_008,1710.06
2025-03-27:POS_009,1638.4
2025-03-27:POS_010,1632.96
2025-03-27:POS_011,1707.22
2025-03-27:POS_012,1712.15
2025-03-27:POS_013,1710.67
2025-03-27:POS_014,1640.24
2025-03-27:POS_015,1638.84
2025-03-27:POS_016,1635.56
2025-03-27:POS_017,1502.01
2025-03-27:POS_018,1465.3
2025-03-27:POS_019,1462.3
2025-03-27:POS_020,1461.14
2025-03-27:POS_021,1455.49
2025-03-27:POS_022,1550.41
2025-03-27:POS_023,1458.9
2025-03-27:POS_024,1460.14
2025-03-27:POS_025,1459.71
2025-03-27:POS_026,1509.28
2025-03-27:POS_027,1514.06
2025-03-27:POS_028,1513.58
2025-03-27:POS_029,1528.38
2025-03-27:POS_030,1580.67
2025-03-27:POS_031,1524.13
2025-03-27:POS_032,1516.97
2025-03-27:POS_033,1051.31
2025-03-27:POS_034,1051.57
2025-03-27:POS_035,1052.33
2025-03-27:POS_036,1050.26
2025-03-27:POS_037,1046.76
2025-03-27:POS_038,1038.15
2025-03-27:POS_039,1035.63
2025-03-27:POS_040,983.62
2025-03-27:POS_041,1031.9
2025-03-27:POS_042,1031.2
2025-03-27:POS_043,1001.61
2025-03-27:POS_044,978.32
2025-03-27:POS_045,1020.59
2025-03-27:POS_046,1027.51
2025-03-27:POS_047,989.59
2025-03-27:POS_048,993.24
2025-03-27:POS_049,1336.09
2025-03-27:POS_050,1317.83
2025-03-27:POS_051,1311.86
2025-03-27:POS_052,1301.58
2025-03-27:POS_053,1292.95
2025-03-27:POS_054,1298.65
2025-03-27:POS_055,1290.69
2025-03-27:POS_056,1288.39
2025-03-27:POS_057,1280.23
2025-03-27:POS_058,1283.21
2025-03-27:POS_059,1299.71
2025-03-27:POS_060,1299.03
2025-03-27:POS_061,1303.92
2025-03-27:POS_062,1312.15
2025-03-27:POS_063,1335.5
2025-03-27:POS_064,1336.71
2025-03-27:POS_065,2474.96
2025-03-27:POS_066,2463.11
2025-03-27:POS_067,2551.08
2025-03-27:POS_068,2564.97
2025-03-27:POS_069,2360.29
2025-03-27:POS_070,2610.48
2025-03-27:POS_071,2687.19
2025-03-27:POS_072,2714.23
2025-03-27:POS_073,2754.88
2025-03-27:POS_074,2803.94
2025-03-27:POS_075,2803.9
2025-03-27:POS_076,2784.85
2025-03-27:POS_077,2821.07
2025-03-27:POS_078,2722.26
2025-03-27:POS_079,2735.28
2025-03-27:POS_080,2774.18
2025-03-27:POS_081,2001.51
2025-03-27:POS_082,1917.92
2025-03-27:POS_083,1899.89
2025-03-27:POS_084,1795.91
2025-03-27:POS_085,1872.48
2025-03-27:POS_086,1790.78
2025-03-27:POS_087,1781.57
2025-03-27:POS_088,1771.2
2025-03-27:POS_089,1760.07
2025-03-27:POS_090,1741.46
2025-03-27:POS_091,1741.37
2025-03-27:POS_092,1738.62
2025-03-27:POS_093,1741.99
2025-03-27:POS_094,1742.16
2025-03-27:POS_095,1740.32
2025-03-27:POS_096,1739.91
2025-03-28:POS_001,1656.07
2025-03-28:POS_002,1656.74
2025-03-28:POS_003,1696.97
2025-03-28:POS_004,1677.68
2025-03-28:POS_005,1707.66
2025-03-28:POS_006,1707.68
