Time,Product,Data
2023-03-13,NEGPOS_00_04,156.91
2023-03-13,NEGPOS_04_08,152.3
2023-03-13,NEGPOS_08_12,122.8
2023-03-13,NEGPOS_12_16,151.2
2023-03-13,NEGPOS_16_20,85.5
2023-03-13,NEGPOS_20_24,127.61
2023-03-14,NEGPOS_00_04,149.2
2023-03-14,NEGPOS_04_08,140
2023-03-14,NEGPOS_08_12,115.96
2023-03-14,NEGPOS_12_16,149.3
2023-03-14,NEGPOS_16_20,96.39
2023-03-14,NEGPOS_20_24,104.41
2023-03-15,NEGPOS_00_04,118.56
2023-03-15,NEGPOS_04_08,100
2023-03-15,NEGPOS_08_12,79.2
2023-03-15,NEGPOS_12_16,123.08
2023-03-15,NEGPOS_16_20,55.6
2023-03-15,NEGPOS_20_24,34
2023-03-16,NEGPOS_00_04,53.72
2023-03-16,NEGPOS_04_08,60.36
2023-03-16,NEGPOS_08_12,67.04
2023-03-16,NEGPOS_12_16,116
2023-03-16,NEGPOS_16_20,54
2023-03-16,NEGPOS_20_24,92.23
2023-03-17,NEGPOS_00_04,101.24
2023-03-17,NEGPOS_04_08,74.39
2023-03-17,NEGPOS_08_12,53.36
2023-03-17,NEGPOS_12_16,67.8
2023-03-17,NEGPOS_16_20,41.72
2023-03-17,NEGPOS_20_24,35.16
2023-03-18,NEGPOS_00_04,69.6
2023-03-18,NEGPOS_04_08,101.42
2023-03-18,NEGPOS_08_12,75.21
2023-03-18,NEGPOS_12_16,90.74
2023-03-18,NEGPOS_16_20,35.91
2023-03-18,NEGPOS_20_24,35.96
2023-03-19,NEGPOS_00_04,51.97
2023-03-19,NEGPOS_04_08,97
2023-03-19,NEGPOS_08_12,101
2023-03-19,NEGPOS_12_16,112.33
2023-03-19,NEGPOS_16_20,39.71
2023-03-19,NEGPOS_20_24,29.48
