Time,Product,Data
2023-03-13,NEG_00_04,43.44
2023-03-13,NEG_04_08,32.15
2023-03-13,NEG_08_12,13.33
2023-03-13,NEG_12_16,78.29
2023-03-13,NEG_16_20,4.89
2023-03-13,NEG_20_24,4.53
2023-03-14,NEG_00_04,48.36
2023-03-14,NEG_04_08,22.33
2023-03-14,NEG_08_12,8.4
2023-03-14,NEG_12_16,35.92
2023-03-14,NEG_16_20,3.72
2023-03-14,NEG_20_24,3.68
2023-03-15,NEG_00_04,22.5
2023-03-15,NEG_04_08,11.13
2023-03-15,NEG_08_12,5.2
2023-03-15,NEG_12_16,19.95
2023-03-15,NEG_16_20,2.8
2023-03-15,NEG_20_24,2.7
2023-03-16,NEG_00_04,15
2023-03-16,NEG_04_08,9.81
2023-03-16,NEG_08_12,8
2023-03-16,NEG_12_16,66.4
2023-03-16,NEG_16_20,4.32
2023-03-16,NEG_20_24,3.62
2023-03-17,NEG_00_04,28.61
2023-03-17,NEG_04_08,23.36
2023-03-17,NEG_08_12,26.66
2023-03-17,NEG_12_16,49.21
2023-03-17,NEG_16_20,5.52
2023-03-17,NEG_20_24,4.07
2023-03-18,NEG_00_04,13.4
2023-03-18,NEG_04_08,9.12
2023-03-18,NEG_08_12,10.44
2023-03-18,NEG_12_16,25.54
2023-03-18,NEG_16_20,3.34
2023-03-18,NEG_20_24,2.85
2023-03-19,NEG_00_04,10.31
2023-03-19,NEG_04_08,7.67
2023-03-19,NEG_08_12,7.44
2023-03-19,NEG_12_16,24.43
2023-03-19,NEG_16_20,2.84
2023-03-19,NEG_20_24,2.31
