Time,Product,GERMANY_MIN_ENERGY_PRICE_[EUR/MWh],Data,GERMANY_MARGINAL_ENERGY_PRICE_[EUR/MWh]
2023-03-13,NEG_001,74,-1131.48,-15000
2023-03-13,NEG_002,74,-1844.3,-15000
2023-03-13,NEG_003,74,-1976.74,-15000
2023-03-13,NEG_004,74,-1984.98,-15000
2023-03-13,NEG_005,74,-1984.31,-15000
2023-03-13,NEG_006,74,-1986.95,-15000
2023-03-13,NEG_007,74,-1984.98,-15000
2023-03-13,NEG_008,74,-1985.47,-15000
2023-03-13,NEG_009,74,-1989.44,-15000
2023-03-13,NEG_010,74,-1986.24,-15000
2023-03-13,NEG_011,74,-1987.4,-15000
2023-03-13,NEG_012,74,-1985.39,-15000
2023-03-13,NEG_013,74,-1987.74,-15000
2023-03-13,NEG_014,74,-1985.97,-15000
2023-03-13,NEG_015,74,-1986.93,-15000
2023-03-13,NEG_016,74,-1985.79,-15000
2023-03-13,NEG_017,74,-2155.62,-15000
2023-03-13,NEG_018,74,-2182.32,-15000
2023-03-13,NEG_019,74,-2185.05,-15000
2023-03-13,NEG_020,74,-2187.71,-15000
2023-03-13,NEG_021,74,-2187.36,-15000
2023-03-13,NEG_022,74,-2188.69,-15000
2023-03-13,NEG_023,74,-2189.23,-15000
2023-03-13,NEG_024,74,-2187.34,-15000
2023-03-13,NEG_025,74,-2187.8,-15000
2023-03-13,NEG_026,74,-2189.02,-15000
2023-03-13,NEG_027,74,-2190.63,-15000
2023-03-13,NEG_028,74,-2189.37,-15000
2023-03-13,NEG_029,74,-2207.45,-15000
2023-03-13,NEG_030,74,-2213.68,-15000
2023-03-13,NEG_031,74,-2210.76,-15000
2023-03-13,NEG_032,74,-2211.33,-15000
2023-03-13,NEG_033,74,-2194.66,-15000
2023-03-13,NEG_034,74,-1989.78,-15000
2023-03-13,NEG_035,51,-1895.7,-15000
2023-03-13,NEG_036,51,-1882.97,-15000
2023-03-13,NEG_037,51,-1873.11,-15000
2023-03-13,NEG_038,51,-1871.64,-15000
2023-03-13,NEG_039,51,-1862.88,-15000
2023-03-13,NEG_040,51,-1865.45,-15000
2023-03-13,NEG_041,51,-1860.09,-15000
2023-03-13,NEG_042,51,-1859.03,-15000
2023-03-13,NEG_043,51,-1862.3,-15000
2023-03-13,NEG_044,51,-1861.48,-15000
2023-03-13,NEG_045,51,-1861.65,-15000
2023-03-13,NEG_046,51,-1851.89,-15000
2023-03-13,NEG_047,51,-1859.8,-15000
2023-03-13,NEG_048,51,-2090.47,-15000
2023-03-13,NEG_049,51,-2399.63,-15000
2023-03-13,NEG_050,51,-2373.53,-15000
2023-03-13,NEG_051,51,-2289.48,-15000
2023-03-13,NEG_052,51,-2514.16,-15000
2023-03-13,NEG_053,51,-2623.54,-15000
2023-03-13,NEG_054,51,-2411.01,-15000
2023-03-13,NEG_055,51,-2306.31,-15000
2023-03-13,NEG_056,5,-2523.89,-15000
2023-03-13,NEG_057,5,-2628.76,-15000
2023-03-13,NEG_058,5,-2420.03,-15000
2023-03-13,NEG_059,5,-2315.31,-15000
2023-03-13,NEG_060,5,-3108.34,-15000
2023-03-13,NEG_061,5,-2680.95,-15000
2023-03-13,NEG_062,5,-2431.75,-15000
2023-03-13,NEG_063,5,-2320.39,-15000
2023-03-13,NEG_064,5,-2532.71,-15000
2023-03-13,NEG_065,5,-2832.32,-15000
2023-03-13,NEG_066,5,-2131.4,-15000
2023-03-13,NEG_067,5,-1918.51,-15000
2023-03-13,NEG_068,5,-1864.49,-15000
2023-03-13,NEG_069,27,-2166.9,-15000
2023-03-13,NEG_070,27,-1985.23,-15000
2023-03-13,NEG_071,27,-2948.66,-15000
2023-03-13,NEG_072,27,-1866.29,-15000
2023-03-13,NEG_073,27,-1974.25,-15000
2023-03-13,NEG_074,27,-1562.35,-15000
2023-03-13,NEG_075,27,-1170.33,-15000
2023-03-13,NEG_076,27,-1272.15,-15000
2023-03-13,NEG_077,27,-1141.44,-15000
2023-03-13,NEG_078,27,-1048.4,-15000
2023-03-13,NEG_079,27,-1062.99,-15000
2023-03-13,NEG_080,27,-1062.07,-15000
2023-03-13,NEG_081,27,-1044.77,-15000
2023-03-13,NEG_082,27,-1088.54,-15000
2023-03-13,NEG_083,27,-1159.33,-15000
2023-03-13,NEG_084,27,-1177.5,-15000
2023-03-13,NEG_085,5,-1184.79,-15000
2023-03-13,NEG_086,5,-1197.69,-15000
2023-03-13,NEG_087,5,-1183.26,-15000
2023-03-13,NEG_088,5,-1161.76,-15000
2023-03-13,NEG_089,5,-1204.77,-15000
2023-03-13,NEG_090,5,-1217.59,-15000
2023-03-13,NEG_091,5,-1220.82,-15000
2023-03-13,NEG_092,5,-1216.83,-15000
2023-03-13,NEG_093,5,-1219.61,-15000
2023-03-13,NEG_094,5,-1217.29,-15000
2023-03-13,NEG_095,5,-1202.19,-15000
2023-03-13,NEG_096,5,-1195.62,-15000
2023-03-14,NEG_001,1,-1212.46,-15000
2023-03-14,NEG_002,1,-1216.33,-15000
2023-03-14,NEG_003,1,-1206.12,-15000
2023-03-14,NEG_004,1,-1200.67,-15000
2023-03-14,NEG_005,1,-1198.22,-15000
2023-03-14,NEG_006,1,-1195.68,-15000
2023-03-14,NEG_007,1,-1194.8,-15000
2023-03-14,NEG_008,1,-1194.57,-15000
2023-03-14,NEG_009,1,-1193.43,-15000
2023-03-14,NEG_010,1,-1193.41,-15000
2023-03-14,NEG_011,1,-1193.13,-15000
2023-03-14,NEG_012,1,-1192.36,-15000
2023-03-14,NEG_013,1,-1192.09,-15000
2023-03-14,NEG_014,1,-1191.95,-15000
2023-03-14,NEG_015,1,-1195.43,-15000
2023-03-14,NEG_016,1,-1196.46,-15000
2023-03-14,NEG_017,1,-1119.87,-15000
2023-03-14,NEG_018,1,-1088.29,-15000
2023-03-14,NEG_019,1,-2767.8,-15000
2023-03-14,NEG_020,1,-5279.08,-15000
2023-03-14,NEG_021,1,-3042.46,-15000
2023-03-14,NEG_022,1,-4060.81,-15000
2023-03-14,NEG_023,1,-5385,-15000
2023-03-14,NEG_024,1,-5852.24,-15000
2023-03-14,NEG_025,1,-5423.47,-15000
2023-03-14,NEG_026,1,-5905.61,-15000
2023-03-14,NEG_027,1,-5902.08,-15000
2023-03-14,NEG_028,1,-5198.64,-15000
2023-03-14,NEG_029,19,-4044.34,-15000
2023-03-14,NEG_030,19,-1760.33,-15000
2023-03-14,NEG_031,19,-1287.34,-15000
2023-03-14,NEG_032,19,-1023.73,-15000
2023-03-14,NEG_033,19,-971.59,-15000
2023-03-14,NEG_034,19,-915.48,-15000
2023-03-14,NEG_035,19,-933.82,-15000
2023-03-14,NEG_036,19,-966.97,-15000
2023-03-14,NEG_037,19,-984.23,-15000
2023-03-14,NEG_038,19,-995.61,-15000
2023-03-14,NEG_039,19,-1002.8,-15000
2023-03-14,NEG_040,19,-1011.29,-15000
2023-03-14,NEG_041,19,-1012.05,-15000
2023-03-14,NEG_042,19,-1012.15,-15000
2023-03-14,NEG_043,19,-1011.8,-15000
2023-03-14,NEG_044,19,-1011.52,-15000
2023-03-14,NEG_045,18.52,-1015.64,-15000
2023-03-14,NEG_046,7,-1019.19,-15000
2023-03-14,NEG_047,7,-1019.08,-15000
2023-03-14,NEG_048,7,-1211.02,-15000
2023-03-14,NEG_049,7,-1343.28,-15000
2023-03-14,NEG_050,7,-1287.28,-15000
2023-03-14,NEG_051,7,-1324.88,-15000
2023-03-14,NEG_052,7,-2641.66,-15000
2023-03-14,NEG_053,7,-4011.81,-15000
2023-03-14,NEG_054,7,-3178.29,-15000
2023-03-14,NEG_055,7,-4646.18,-15000
2023-03-14,NEG_056,7,-4891.21,-15000
2023-03-14,NEG_057,7,-4107.76,-15000
2023-03-14,NEG_058,7,-2874.14,-15000
2023-03-14,NEG_059,7,-2162.28,-15000
2023-03-14,NEG_060,7,-5475.32,-15000
2023-03-14,NEG_061,7,-2459.65,-15000
2023-03-14,NEG_062,7,-2227.31,-15000
2023-03-14,NEG_063,7,-1907.54,-15000
2023-03-14,NEG_064,7,-1972.17,-15000
2023-03-14,NEG_065,27,-5184.89,-15000
2023-03-14,NEG_066,27,-1633.98,-15000
2023-03-14,NEG_067,27,-1484.53,-15000
2023-03-14,NEG_068,27,-3641.86,-15000
2023-03-14,NEG_069,27,-1711.99,-15000
2023-03-14,NEG_070,27,-4571.36,-15000
2023-03-14,NEG_071,57,-4477.46,-15000
2023-03-14,NEG_072,57,-1692.7,-15000
2023-03-14,NEG_073,57,-2065.63,-15000
2023-03-14,NEG_074,57,-1142.88,-15000
2023-03-14,NEG_075,57,-968.82,-15000
2023-03-14,NEG_076,57,-1119.78,-15000
2023-03-14,NEG_077,57,-946.42,-15000
2023-03-14,NEG_078,57,-889.41,-15000
2023-03-14,NEG_079,57,-882.44,-15000
2023-03-14,NEG_080,57,-879.22,-15000
2023-03-14,NEG_081,57,-1017.23,-15000
2023-03-14,NEG_082,57,-1310.82,-15000
2023-03-14,NEG_083,57,-1593.58,-15000
2023-03-14,NEG_084,57,-1710.46,-15000
2023-03-14,NEG_085,57,-1778.48,-15000
2023-03-14,NEG_086,57,-1810.24,-15000
2023-03-14,NEG_087,57,-1786.74,-15000
2023-03-14,NEG_088,57,-1835.36,-15000
2023-03-14,NEG_089,57,-1856.98,-15000
2023-03-14,NEG_090,57,-1865.85,-15000
2023-03-14,NEG_091,57,-3160.76,-15000
2023-03-14,NEG_092,57,-3288.17,-15000
2023-03-14,NEG_093,57,-3286.55,-15000
2023-03-14,NEG_094,57,-3289.06,-15000
2023-03-14,NEG_095,57,-3372.07,-15000
2023-03-14,NEG_096,57,-3376.83,-15000
2023-03-15,NEG_001,57,-4831.89,-15000
2023-03-15,NEG_002,57,-4819.04,-15000
2023-03-15,NEG_003,57,-4812.36,-15000
2023-03-15,NEG_004,57,-1912.71,-15000
2023-03-15,NEG_005,57,-1564.31,-15000
2023-03-15,NEG_006,57,-1333.06,-15000
2023-03-15,NEG_007,57,-1232.13,-15000
2023-03-15,NEG_008,57,-1153.61,-15000
2023-03-15,NEG_009,57,-1115.9,-15000
2023-03-15,NEG_010,57,-1086.86,-15000
2023-03-15,NEG_011,57,-1070.58,-15000
2023-03-15,NEG_012,57,-1059.47,-15000
2023-03-15,NEG_013,57,-1060.76,-15000
2023-03-15,NEG_014,57,-1055.08,-15000
2023-03-15,NEG_015,57,-1049.07,-15000
2023-03-15,NEG_016,57,-1046.37,-15000
2023-03-15,NEG_017,57,-1144.78,-15000
2023-03-15,NEG_018,57,-1244.86,-15000
2023-03-15,NEG_019,57,-1312.06,-15000
2023-03-15,NEG_020,57,-1343.77,-15000
2023-03-15,NEG_021,57,-1352.3,-15000
2023-03-15,NEG_022,57,-1380.29,-15000
2023-03-15,NEG_023,57,-1372.73,-15000
2023-03-15,NEG_024,57,-1370.27,-15000
2023-03-15,NEG_025,57,-1370.8,-15000
2023-03-15,NEG_026,70,-1341.01,-15000
2023-03-15,NEG_027,70,-1298.12,-15000
2023-03-15,NEG_028,70.34,-1267.15,-15000
2023-03-15,NEG_029,70.34,-1250.07,-15000
2023-03-15,NEG_030,70.34,-1675.41,-15000
2023-03-15,NEG_031,70.34,-1238.47,-15000
2023-03-15,NEG_032,70.34,-1213.8,-15000
2023-03-15,NEG_033,70.34,-1007.17,-15000
2023-03-15,NEG_034,70.34,-837.83,-15000
2023-03-15,NEG_035,70.34,-815.58,-15000
2023-03-15,NEG_036,70.34,-817.45,-15000
2023-03-15,NEG_037,70,-824.99,-15000
2023-03-15,NEG_038,70,-828.89,-15000
2023-03-15,NEG_039,70,-853.03,-15000
2023-03-15,NEG_040,70,-865.92,-15000
2023-03-15,NEG_041,57,-840.59,-15000
2023-03-15,NEG_042,57,-858.29,-15000
2023-03-15,NEG_043,57,-864.04,-15000
2023-03-15,NEG_044,57,-901.16,-15000
2023-03-15,NEG_045,57,-864.69,-15000
2023-03-15,NEG_046,57,-5282.21,-15000
2023-03-15,NEG_047,57,-5803.93,-15000
2023-03-15,NEG_048,57,-5975.77,-15000
2023-03-15,NEG_049,57,-2016.34,-15000
2023-03-15,NEG_050,57,-1569.32,-15000
2023-03-15,NEG_051,57,-1135.55,-15000
2023-03-15,NEG_052,57,-1200.65,-15000
2023-03-15,NEG_053,57,-1219.77,-15000
2023-03-15,NEG_054,57,-1094.72,-15000
2023-03-15,NEG_055,57,-1026.48,-15000
2023-03-15,NEG_056,57,-1136.09,-15000
2023-03-15,NEG_057,57,-1180.67,-15000
2023-03-15,NEG_058,57,-1248.76,-15000
2023-03-15,NEG_059,51,-1099.38,-15000
2023-03-15,NEG_060,51,-1096.68,-15000
2023-03-15,NEG_061,51,-2100.91,-15000
2023-03-15,NEG_062,51,-1047.97,-15000
2023-03-15,NEG_063,51,-1288.69,-15000
2023-03-15,NEG_064,51,-979.57,-15000
2023-03-15,NEG_065,57.71,-1664.89,-15000
2023-03-15,NEG_066,65.71,-890.69,-15000
2023-03-15,NEG_067,71,-793.18,-15000
2023-03-15,NEG_068,71,-1008.37,-15000
2023-03-15,NEG_069,69.34,-1349.37,-15000
2023-03-15,NEG_070,71,-1308.25,-15000
2023-03-15,NEG_071,71,-1368.98,-15000
2023-03-15,NEG_072,100,-1026.45,-15000
2023-03-15,NEG_073,100,-1003.59,-15000
2023-03-15,NEG_074,100,-773.63,-15000
2023-03-15,NEG_075,100,-759.06,-15000
2023-03-15,NEG_076,100,-986.45,-15000
2023-03-15,NEG_077,100,-766.44,-15000
2023-03-15,NEG_078,100,-755.22,-15000
2023-03-15,NEG_079,100,-755.71,-15000
2023-03-15,NEG_080,100,-757.02,-15000
2023-03-15,NEG_081,100,-900.81,-15000
2023-03-15,NEG_082,100,-895.53,-15000
2023-03-15,NEG_083,100,-895.22,-15000
2023-03-15,NEG_084,100,-889.4,-15000
2023-03-15,NEG_085,100,-886.25,-15000
2023-03-15,NEG_086,100,-885.33,-15000
2023-03-15,NEG_087,100,-885.4,-15000
2023-03-15,NEG_088,100,-885.77,-15000
2023-03-15,NEG_089,71.34,-898.15,-15000
2023-03-15,NEG_090,100,-912.62,-15000
2023-03-15,NEG_091,100,-951.88,-15000
2023-03-15,NEG_092,100,-983.09,-15000
2023-03-15,NEG_093,100,-986.9,-15000
2023-03-15,NEG_094,100,-946.07,-15000
2023-03-15,NEG_095,100,-957.02,-15000
2023-03-15,NEG_096,100,-989.96,-15000
2023-03-16,NEG_001,71,-996.78,-15000
2023-03-16,NEG_002,70.16,-1209.04,-15000
2023-03-16,NEG_003,69.34,-1230.51,-15000
2023-03-16,NEG_004,67.34,-1233.71,-15000
2023-03-16,NEG_005,68.7,-1246.68,-15000
2023-03-16,NEG_006,69.69,-1328.56,-15000
2023-03-16,NEG_007,65.34,-1341.7,-15000
2023-03-16,NEG_008,66.34,-1341.24,-15000
2023-03-16,NEG_009,71,-1340.01,-15000
2023-03-16,NEG_010,71,-1338.51,-15000
2023-03-16,NEG_011,71.34,-1338.95,-15000
2023-03-16,NEG_012,70.34,-1339.29,-15000
2023-03-16,NEG_013,71.34,-1337.56,-15000
2023-03-16,NEG_014,71,-1339.34,-15000
2023-03-16,NEG_015,71.34,-1343.37,-15000
2023-03-16,NEG_016,69.34,-1357.24,-15000
2023-03-16,NEG_017,71.34,-1437.3,-15000
2023-03-16,NEG_018,71,-1599.28,-15000
2023-03-16,NEG_019,71,-1618.74,-15000
2023-03-16,NEG_020,71.34,-1619.05,-15000
2023-03-16,NEG_021,70.34,-1622.5,-15000
2023-03-16,NEG_022,71,-1623.42,-15000
2023-03-16,NEG_023,71,-1621.42,-15000
2023-03-16,NEG_024,71,-1621.93,-15000
2023-03-16,NEG_025,71.34,-1623.76,-15000
2023-03-16,NEG_026,71.34,-1627.7,-15000
2023-03-16,NEG_027,71.34,-1604.74,-15000
2023-03-16,NEG_028,71,-1564.19,-15000
2023-03-16,NEG_029,71.34,-1549.61,-15000
2023-03-16,NEG_030,71.34,-1474.05,-15000
2023-03-16,NEG_031,71,-1466.34,-15000
2023-03-16,NEG_032,71,-1483.14,-15000
2023-03-16,NEG_033,71.34,-1449.16,-15000
2023-03-16,NEG_034,71.34,-1247.14,-15000
2023-03-16,NEG_035,71,-1205.67,-15000
2023-03-16,NEG_036,71.34,-1193.12,-15000
2023-03-16,NEG_037,71.34,-1204.63,-15000
2023-03-16,NEG_038,70.34,-1256.12,-15000
2023-03-16,NEG_039,70.34,-1375.83,-15000
2023-03-16,NEG_040,70,-1459.72,-15000
2023-03-16,NEG_041,70,-2019.14,-15000
2023-03-16,NEG_042,70,-2120.85,-15000
2023-03-16,NEG_043,70,-1946.65,-15000
2023-03-16,NEG_044,70,-1894.75,-15000
2023-03-16,NEG_045,71,-1873.32,-15000
2023-03-16,NEG_046,71,-1870.24,-15000
2023-03-16,NEG_047,70,-1867.65,-15000
2023-03-16,NEG_048,70.34,-2026.72,-15000
2023-03-16,NEG_049,70.34,-2154.76,-15000
2023-03-16,NEG_050,70,-2061.18,-15000
2023-03-16,NEG_051,71,-2038.35,-15000
2023-03-16,NEG_052,70,-2073.33,-15000
2023-03-16,NEG_053,70,-2116.25,-15000
2023-03-16,NEG_054,70.34,-1995.6,-15000
2023-03-16,NEG_055,71,-1891.89,-15000
2023-03-16,NEG_056,70.34,-1984.03,-15000
2023-03-16,NEG_057,70.34,-2101.88,-15000
2023-03-16,NEG_058,71,-1981.53,-15000
2023-03-16,NEG_059,71,-1888.58,-15000
2023-03-16,NEG_060,71,-1999.86,-15000
2023-03-16,NEG_061,71.34,-2097.88,-15000
2023-03-16,NEG_062,71.34,-2027.3,-15000
2023-03-16,NEG_063,71,-1988.33,-15000
2023-03-16,NEG_064,71.1,-2095.77,-15000
2023-03-16,NEG_065,71.34,-2003.86,-15000
2023-03-16,NEG_066,71.34,-1639.22,-15000
2023-03-16,NEG_067,71.1,-1495.7,-15000
2023-03-16,NEG_068,71.1,-1632.16,-15000
2023-03-16,NEG_069,71.34,-1742.12,-15000
2023-03-16,NEG_070,71.34,-1597.67,-15000
2023-03-16,NEG_071,71.1,-1486.89,-15000
2023-03-16,NEG_072,71.34,-1627.04,-15000
2023-03-16,NEG_073,71.34,-1735.37,-15000
2023-03-16,NEG_074,71.34,-1585.95,-15000
2023-03-16,NEG_075,71.34,-1479.93,-15000
2023-03-16,NEG_076,71.34,-1528.45,-15000
2023-03-16,NEG_077,71.1,-1306.91,-15000
2023-03-16,NEG_078,71.1,-1210.22,-15000
2023-03-16,NEG_079,71.1,-1211.22,-15000
2023-03-16,NEG_080,71.1,-1336.63,-15000
2023-03-16,NEG_081,71.1,-1288.21,-15000
2023-03-16,NEG_082,71.1,-914.66,-15000
2023-03-16,NEG_083,71.1,-897.87,-15000
2023-03-16,NEG_084,71.1,-902,-15000
2023-03-16,NEG_085,71.1,-907.86,-15000
2023-03-16,NEG_086,71.1,-917.51,-15000
2023-03-16,NEG_087,71.1,-922.12,-15000
2023-03-16,NEG_088,71.1,-925.59,-15000
2023-03-16,NEG_089,71.1,-1010.31,-15000
2023-03-16,NEG_090,71.1,-1051.9,-15000
2023-03-16,NEG_091,71.1,-1003.7,-15000
2023-03-16,NEG_092,71.1,-1003.47,-15000
2023-03-16,NEG_093,71.1,-1006.67,-15000
2023-03-16,NEG_094,71.1,-1011.13,-15000
2023-03-16,NEG_095,71.1,-1014.25,-15000
2023-03-16,NEG_096,71.1,-1015.59,-15000
2023-03-17,NEG_001,69,-1059.83,-15000
