Time,Starthour,Endhour,Unit,Data
2023-03-13,00:00,00:15,MW,143.916
2023-03-13,00:15,00:30,MW,3.58
2023-03-13,00:30,00:45,MW,0.000668
2023-03-13,00:45,01:00,MW,32.152
2023-03-13,01:00,01:15,MW,12.468
2023-03-13,01:15,01:30,MW,0.000836
2023-03-13,01:30,01:45,MW,17.32
2023-03-13,01:45,02:00,MW,18.936
2023-03-13,02:00,02:15,MW,85.64
2023-03-13,02:15,02:30,MW,87.9
2023-03-13,02:30,02:45,MW,183.648
2023-03-13,02:45,03:00,MW,76.168
2023-03-13,03:00,03:15,MW,13.292
2023-03-13,03:15,03:30,MW,0
2023-03-13,03:30,03:45,MW,2.988
2023-03-13,03:45,04:00,MW,135.284
2023-03-13,04:00,04:15,MW,43.78
2023-03-13,04:15,04:30,MW,18.608
2023-03-13,04:30,04:45,MW,52.496
2023-03-13,04:45,05:00,MW,113.096
2023-03-13,05:00,05:15,MW,318.392
2023-03-13,05:15,05:30,MW,208.568
2023-03-13,05:30,05:45,MW,17.02
2023-03-13,05:45,06:00,MW,0
2023-03-13,06:00,06:15,MW,25.956
2023-03-13,06:15,06:30,MW,3.996
2023-03-13,06:30,06:45,MW,0
2023-03-13,06:45,07:00,MW,3.192
2023-03-13,07:00,07:15,MW,11.76
2023-03-13,07:15,07:30,MW,39.804
2023-03-13,07:30,07:45,MW,6.976
2023-03-13,07:45,08:00,MW,0
2023-03-13,08:00,08:15,MW,0
2023-03-13,08:15,08:30,MW,0
2023-03-13,08:30,08:45,MW,0
2023-03-13,08:45,09:00,MW,0
2023-03-13,09:00,09:15,MW,0
2023-03-13,09:15,09:30,MW,0
2023-03-13,09:30,09:45,MW,13.58
2023-03-13,09:45,10:00,MW,13.608
2023-03-13,10:00,10:15,MW,0.000996
2023-03-13,10:15,10:30,MW,0.000176
2023-03-13,10:30,10:45,MW,0.0003
2023-03-13,10:45,11:00,MW,0.000128
2023-03-13,11:00,11:15,MW,24.288
2023-03-13,11:15,11:30,MW,163.696
2023-03-13,11:30,11:45,MW,65.536
2023-03-13,11:45,12:00,MW,68.644
2023-03-13,12:00,12:15,MW,35.292
2023-03-13,12:15,12:30,MW,138.776
2023-03-13,12:30,12:45,MW,87.928
2023-03-13,12:45,13:00,MW,37.5
2023-03-13,13:00,13:15,MW,161.424
2023-03-13,13:15,13:30,MW,254.356
2023-03-13,13:30,13:45,MW,96.764
2023-03-13,13:45,14:00,MW,5.064
2023-03-13,14:00,14:15,MW,0
2023-03-13,14:15,14:30,MW,0
2023-03-13,14:30,14:45,MW,0.000576
2023-03-13,14:45,15:00,MW,53.828
2023-03-13,15:00,15:15,MW,8.164
2023-03-13,15:15,15:30,MW,0
2023-03-13,15:30,15:45,MW,40.528
2023-03-13,15:45,16:00,MW,78.296
2023-03-13,16:00,16:15,MW,179.524
2023-03-13,16:15,16:30,MW,78.94
2023-03-13,16:30,16:45,MW,131.016
2023-03-13,16:45,17:00,MW,149.704
2023-03-13,17:00,17:15,MW,4.08
2023-03-13,17:15,17:30,MW,0
2023-03-13,17:30,17:45,MW,0
2023-03-13,17:45,18:00,MW,0.000008
2023-03-13,18:00,18:15,MW,140.304
2023-03-13,18:15,18:30,MW,357.352
2023-03-13,18:30,18:45,MW,106.708
2023-03-13,18:45,19:00,MW,56.284
2023-03-13,19:00,19:15,MW,24.648
2023-03-13,19:15,19:30,MW,0.000432
2023-03-13,19:30,19:45,MW,0.000052
2023-03-13,19:45,20:00,MW,0
2023-03-13,20:00,20:15,MW,0
2023-03-13,20:15,20:30,MW,0
2023-03-13,20:30,20:45,MW,0.000008
2023-03-13,20:45,21:00,MW,0
2023-03-13,21:00,21:15,MW,4.228
2023-03-13,21:15,21:30,MW,1.216
2023-03-13,21:30,21:45,MW,89.528
2023-03-13,21:45,22:00,MW,268.296
2023-03-13,22:00,22:15,MW,58.832
2023-03-13,22:15,22:30,MW,0
2023-03-13,22:30,22:45,MW,1.136
2023-03-13,22:45,23:00,MW,0.0008
2023-03-13,23:00,23:15,MW,35.564
2023-03-13,23:15,23:30,MW,31.16
2023-03-13,23:30,23:45,MW,4.936
2023-03-13,23:45,00:00,MW,7.644
2023-03-14,00:00,00:15,MW,6.028
2023-03-14,00:15,00:30,MW,0
2023-03-14,00:30,00:45,MW,0.000572
2023-03-14,00:45,01:00,MW,35.024
2023-03-14,01:00,01:15,MW,54.308
2023-03-14,01:15,01:30,MW,112.74
2023-03-14,01:30,01:45,MW,132.248
2023-03-14,01:45,02:00,MW,349.452
2023-03-14,02:00,02:15,MW,116.332
2023-03-14,02:15,02:30,MW,415.068
2023-03-14,02:30,02:45,MW,216.82
2023-03-14,02:45,03:00,MW,179.42
2023-03-14,03:00,03:15,MW,2.94
2023-03-14,03:15,03:30,MW,0.000308
