Time,Product,Data
2023-03-13,POS_00_04,2.23
2023-03-13,POS_04_08,6.1
2023-03-13,POS_08_12,10.39
2023-03-13,POS_12_16,1.69
2023-03-13,POS_16_20,15.43
2023-03-13,POS_20_24,10.9
2023-03-14,POS_00_04,2.1
2023-03-14,POS_04_08,4.47
2023-03-14,POS_08_12,7.15
2023-03-14,POS_12_16,1.64
2023-03-14,POS_16_20,14.4
2023-03-14,POS_20_24,8.26
2023-03-15,POS_00_04,2.05
2023-03-15,POS_04_08,4.09
2023-03-15,POS_08_12,6.13
2023-03-15,POS_12_16,1.66
2023-03-15,POS_16_20,20.89
2023-03-15,POS_20_24,9.32
2023-03-16,POS_00_04,2.33
2023-03-16,POS_04_08,22.5
2023-03-16,POS_08_12,23.4
2023-03-16,POS_12_16,13.32
2023-03-16,POS_16_20,14.76
2023-03-16,POS_20_24,7.9
2023-03-17,POS_00_04,7.68
2023-03-17,POS_04_08,42.16
2023-03-17,POS_08_12,37.46
2023-03-17,POS_12_16,20.52
2023-03-17,POS_16_20,38.34
2023-03-17,POS_20_24,9.22
2023-03-18,POS_00_04,3.51
2023-03-18,POS_04_08,11.48
2023-03-18,POS_08_12,11.01
2023-03-18,POS_12_16,7.83
2023-03-18,POS_16_20,17.36
2023-03-18,POS_20_24,7.33
2023-03-19,POS_00_04,5.04
2023-03-19,POS_04_08,9.07
2023-03-19,POS_08_12,8.07
2023-03-19,POS_12_16,5.2
2023-03-19,POS_16_20,13.81
2023-03-19,POS_20_24,6.89
