Time,Product,GERMANY_MIN_ENERGY_PRICE_[EUR/MWh],Data,GERMANY_MARGINAL_ENERGY_PRICE_[EUR/MWh]
2023-03-13,POS_001,159.34,993.55,15000
2023-03-13,POS_002,159.34,883.86,15000
2023-03-13,POS_003,159.34,859.69,15000
2023-03-13,POS_004,159.34,860.03,15000
2023-03-13,POS_005,162,860.25,15000
2023-03-13,POS_006,162,860.82,15000
2023-03-13,POS_007,162,861.18,15000
2023-03-13,POS_008,162,859.81,15000
2023-03-13,POS_009,162,860.99,15000
2023-03-13,POS_010,162,865.4,15000
2023-03-13,POS_011,162,1229.43,15000
2023-03-13,POS_012,162,873.7,15000
2023-03-13,POS_013,162,1819.98,15000
2023-03-13,POS_014,162,1832.92,15000
2023-03-13,POS_015,162,1833.17,15000
2023-03-13,POS_016,162,1832.98,15000
2023-03-13,POS_017,161.2,1139.81,15000
2023-03-13,POS_018,161.3,1155.3,15000
2023-03-13,POS_019,162,1154.84,15000
2023-03-13,POS_020,162,1155.74,15000
2023-03-13,POS_021,159.6,1155.52,15000
2023-03-13,POS_022,153.6,1156.42,15000
2023-03-13,POS_023,162,1153.79,15000
2023-03-13,POS_024,162,1156.02,15000
2023-03-13,POS_025,162,1154.89,15000
2023-03-13,POS_026,162,1157.03,15000
2023-03-13,POS_027,162,1157.47,15000
2023-03-13,POS_028,162,1156.98,15000
2023-03-13,POS_029,162,1150.11,15000
2023-03-13,POS_030,162,1140.88,15000
2023-03-13,POS_031,162,1140.29,15000
2023-03-13,POS_032,162,1139.47,15000
2023-03-13,POS_033,160,953.38,15000
2023-03-13,POS_034,160,892.41,15000
2023-03-13,POS_035,159,880.75,15000
2023-03-13,POS_036,159,878.86,15000
2023-03-13,POS_037,159,1019.53,15000
2023-03-13,POS_038,159,1911.88,15000
2023-03-13,POS_039,159,2379.27,15000
2023-03-13,POS_040,159,933.12,15000
2023-03-13,POS_041,159,868.19,15000
2023-03-13,POS_042,159,848.66,15000
2023-03-13,POS_043,155,838.77,15000
2023-03-13,POS_044,155,830.71,15000
2023-03-13,POS_045,154.9,826.96,15000
2023-03-13,POS_046,154.9,825.06,15000
2023-03-13,POS_047,154.9,837.19,15000
2023-03-13,POS_048,154.9,865.51,15000
2023-03-13,POS_049,155,706.46,15000
2023-03-13,POS_050,155,654.74,15000
2023-03-13,POS_051,155,654.01,15000
2023-03-13,POS_052,155,653.05,15000
2023-03-13,POS_053,155,647.26,15000
2023-03-13,POS_054,155,644.76,15000
2023-03-13,POS_055,155,644.95,15000
2023-03-13,POS_056,154,645.24,15000
2023-03-13,POS_057,154,645.01,15000
2023-03-13,POS_058,154,645.67,15000
2023-03-13,POS_059,154,644.71,15000
2023-03-13,POS_060,154,649,15000
2023-03-13,POS_061,154,651.38,15000
2023-03-13,POS_062,154,650.68,15000
2023-03-13,POS_063,154,650.71,15000
2023-03-13,POS_064,154,651.54,15000
2023-03-13,POS_065,154,794.32,15000
2023-03-13,POS_066,154,845.7,15000
2023-03-13,POS_067,154,842.38,15000
2023-03-13,POS_068,154,843.77,15000
2023-03-13,POS_069,154,842.62,15000
2023-03-13,POS_070,154,844.91,15000
2023-03-13,POS_071,154,843.66,15000
2023-03-13,POS_072,154,842.53,15000
2023-03-13,POS_073,154,843.09,15000
2023-03-13,POS_074,154,842.66,15000
2023-03-13,POS_075,154,844.76,15000
2023-03-13,POS_076,154,861.51,15000
2023-03-13,POS_077,145,870.25,15000
2023-03-13,POS_078,145,868.08,15000
2023-03-13,POS_079,154,861.94,15000
2023-03-13,POS_080,154,859.07,15000
2023-03-13,POS_081,154,1086.3,15000
2023-03-13,POS_082,154,1262.27,15000
2023-03-13,POS_083,153.9,1260.32,15000
2023-03-13,POS_084,153.9,1260.42,15000
2023-03-13,POS_085,154,1260.41,15000
2023-03-13,POS_086,154,1259.13,15000
2023-03-13,POS_087,154,1264.26,15000
2023-03-13,POS_088,154,1696.96,15000
2023-03-13,POS_089,154,1751.18,15000
