Time,Starthour,Endhour,Unit,Data
2023-03-13,00:00,00:15,MW,0
2023-03-13,00:15,00:30,MW,0
2023-03-13,00:30,00:45,MW,0
2023-03-13,00:45,01:00,MW,0.000004
2023-03-13,01:00,01:15,MW,0
2023-03-13,01:15,01:30,MW,0
2023-03-13,01:30,01:45,MW,0.000004
2023-03-13,01:45,02:00,MW,0.000008
2023-03-13,02:00,02:15,MW,0
2023-03-13,02:15,02:30,MW,0
2023-03-13,02:30,02:45,MW,0
2023-03-13,02:45,03:00,MW,0.000004
2023-03-13,03:00,03:15,MW,92.832
2023-03-13,03:15,03:30,MW,55.312
2023-03-13,03:30,03:45,MW,0.000008
2023-03-13,03:45,04:00,MW,0
2023-03-13,04:00,04:15,MW,0
2023-03-13,04:15,04:30,MW,0
2023-03-13,04:30,04:45,MW,0
2023-03-13,04:45,05:00,MW,0
2023-03-13,05:00,05:15,MW,0
2023-03-13,05:15,05:30,MW,0
2023-03-13,05:30,05:45,MW,14.752
2023-03-13,05:45,06:00,MW,86.948
2023-03-13,06:00,06:15,MW,13.76
2023-03-13,06:15,06:30,MW,12.104
2023-03-13,06:30,06:45,MW,87.152
2023-03-13,06:45,07:00,MW,43.84
2023-03-13,07:00,07:15,MW,49.664
2023-03-13,07:15,07:30,MW,0
2023-03-13,07:30,07:45,MW,0
2023-03-13,07:45,08:00,MW,0
2023-03-13,08:00,08:15,MW,0.000012
2023-03-13,08:15,08:30,MW,0.000012
2023-03-13,08:30,08:45,MW,0.000012
2023-03-13,08:45,09:00,MW,0.000012
2023-03-13,09:00,09:15,MW,134.876
2023-03-13,09:15,09:30,MW,6.576
2023-03-13,09:30,09:45,MW,0.000008
2023-03-13,09:45,10:00,MW,0
2023-03-13,10:00,10:15,MW,234.74
2023-03-13,10:15,10:30,MW,5.052
2023-03-13,10:30,10:45,MW,32.688
2023-03-13,10:45,11:00,MW,2.832
2023-03-13,11:00,11:15,MW,96.528
2023-03-13,11:15,11:30,MW,0
2023-03-13,11:30,11:45,MW,0
2023-03-13,11:45,12:00,MW,1.2
2023-03-13,12:00,12:15,MW,91.16
2023-03-13,12:15,12:30,MW,0
2023-03-13,12:30,12:45,MW,0
2023-03-13,12:45,13:00,MW,0
2023-03-13,13:00,13:15,MW,0.000128
2023-03-13,13:15,13:30,MW,0
2023-03-13,13:30,13:45,MW,0
2023-03-13,13:45,14:00,MW,39.304
2023-03-13,14:00,14:15,MW,182.552
2023-03-13,14:15,14:30,MW,168.924
2023-03-13,14:30,14:45,MW,53.44
2023-03-13,14:45,15:00,MW,21.212
2023-03-13,15:00,15:15,MW,162.464
2023-03-13,15:15,15:30,MW,284.22
2023-03-13,15:30,15:45,MW,46.016
